Distribution,Sample Length,Gini Coefficient,Herfindahl-Hirschman Index,Entropy,Nakamoto Coefficient,Apokedro
Bimodal,50,0.23573172444357782,0.02368229363377201,3.8157915373003495,18,0.03284398614609572
Log-normal,50,0.271118107423986,0.025224647243601354,3.790347360940358,16,0.03747258771929825
Chi-Square,50,0.48568487841157604,0.03963903104888842,3.5117984031556984,10,0.119140625
Uniform,51,0.22950205011800887,0.022730954443830893,3.84862741431617,18,0.008428464274863278
Normal,51,0.08774692774423581,0.020074098285528166,3.919635982966962,23,0.008703471488912354
Exponential,51,0.4387774615010807,0.03631048916372992,3.6025894969607104,11,0.2222222222222222
Bimodal,51,0.21807672237212458,0.02309726359501997,3.830782849711621,18,0.029127706692913386
Log-normal,51,0.2742919376639469,0.025009617213556674,3.8088309436500394,16,0.027040351941747573
Chi-Square,51,0.5592012935436311,0.0435700491398688,3.399226289269157,8,0.05823863636363636
Uniform,52,0.2769614795390298,0.02370290000907823,3.8215491634983585,17,0.0067587173023162936
Normal,52,0.09826927749771919,0.019812408000771928,3.9357729189343718,23,0.013748727951153325
Exponential,52,0.5031023159535987,0.036547905162528885,3.5223358286026696,11,0.0268427625464684
Bimodal,52,0.21681933300134018,0.022167310298953215,3.8725805913188673,19,0.04173018292682927
Log-normal,52,0.27006245049334016,0.024181262453221025,3.834331926191014,17,0.033114614803625375
Chi-Square,52,0.516243324085398,0.03835796734295593,3.494149132169742,11,0.04512810559006211
Uniform,53,0.30544816004357767,0.024228251056757123,3.8198208491312884,16,0.008875314597315435
Normal,53,0.0987833361586587,0.01945448045895788,3.954370016455864,23,0.017462489862124897
Exponential,53,0.5090956206250894,0.041290361700997834,3.520603894603005,9,0.0858050847457627
